en,ko
___________'s Pikachu,___________'s 피카츄
_____'s Pikachu,_____'s 피카츄
Abomasnow,눈설왕
Abra,캐이시
Absol,앱솔
Absol ex,앱솔 ex
Absol EX,앱솔 EX
Absol G,앱솔 G
Absol G LV.X,앱솔 G LV.X
Accelgor,어지리더
Act Tough,Act Tough
Aegislash,킬가르도
Aegislash ex,킬가르도 ex
Aegislash EX,킬가르도 EX
Aegislash V,킬가르도 V
Aegislash VMAX,킬가르도 VMAX
Aerodactyl,프테라
Aerodactyl ex,프테라 ex
Aerodactyl EX,프테라 EX
Aerodactyl GL,프테라 GL
Aerodactyl GX,프테라 GX
Aerodactyl V,프테라 V
Aerodactyl VSTAR,프테라 VSTAR
Aerodactyl δ,프테라 δ
Aggron,보스로라
Aggron ex,보스로라 ex
Aggron EX,보스로라 EX
Aggron V,보스로라 V
Aggron VMAX,보스로라 VMAX
Aipom,에이팜
Alakazam,후딘
Alakazam ☆,후딘 ☆
Alakazam E4,후딘 E4
Alakazam E4 LV.X,후딘 E4 LV.X
Alakazam ex,후딘 ex
Alakazam EX,후딘 EX
Alakazam V,후딘 V
Alcremie,마휘핑
Alcremie ex,마휘핑 ex
Alcremie V,마휘핑 V
Alcremie VMAX,마휘핑 VMAX
Alolan Diglett,알로라 디그다
Alolan Dugtrio,알로라 닥트리오
Alolan Dugtrio ex,알로라 닥트리오 ex
Alolan Exeggutor,알로라 나시
Alolan Exeggutor ex,알로라 나시 ex
Alolan Exeggutor GX,알로라 나시 GX
Alolan Exeggutor V,알로라 나시 V
Alolan Geodude,알로라 꼬마돌
Alolan Golem,알로라 딱구리
Alolan Golem GX,알로라 딱구리 GX
Alolan Graveler,알로라 데구리
Alolan Grimer,알로라 질퍽이
Alolan Marowak,알로라 텅구리
Alolan Marowak GX,알로라 텅구리 GX
Alolan Meowth,알로라 나옹
Alolan Muk,알로라 질뻐기
Alolan Muk ex,알로라 질뻐기 ex
Alolan Muk GX,알로라 질뻐기 GX
Alolan Ninetales,알로라 나인테일
Alolan Ninetales ex,알로라 나인테일 ex
Alolan Ninetales GX,알로라 나인테일 GX
Alolan Ninetales-GX,알로라 나인테일-GX
Alolan Persian,알로라 페르시온
